24/04/2015 16:40:01:	{"username":"admin","module":"users","class":"admin_users","action":"dashboard","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:40:21:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:40:22:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:40:48:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:41:01:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:41:09:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:41:20:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:41:21:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:41:54:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:43:13:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:43:14:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:46:59:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:47:17:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:48:00:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:48:27:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:49:11:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:49:12:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:50:02:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:50:03:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:50:04:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:50:04:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:52:57:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:52:59:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:59:38:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 16:59:44:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
24/04/2015 17:12:48:	{"username":"admin","module":"films","class":"admin_films","action":"getContent_ngoisao","post_params":[],"get_params":[],"ip":"::1"}>>>>>
