07/04/2015 16:25:09:	{"username":"admin","module":"photos","class":"admin_photos","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 16:25:29:	{"username":"admin","module":"photos","class":"admin_photos","action":"add","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 16:26:07:	{"username":"admin","module":"films","class":"admin_films","action":"add","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 16:26:08:	{"username":"admin","module":"frontend","class":"frontend","action":"static","post_params":[],"get_params":{"t":"D2LI"},"ip":"::1"}>>>>>
07/04/2015 16:26:08:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 16:26:36:	{"username":"admin","module":"films","class":"admin_films","action":"add","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 16:26:36:	{"username":"admin","module":"frontend","class":"frontend","action":"static","post_params":[],"get_params":{"t":"D2LI"},"ip":"::1"}>>>>>
07/04/2015 16:26:37:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 16:29:18:	{"username":"admin","module":"films","class":"admin_films","action":"add","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 16:29:19:	{"username":"admin","module":"frontend","class":"frontend","action":"static","post_params":[],"get_params":{"t":"D2LI"},"ip":"::1"}>>>>>
07/04/2015 16:29:19:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 16:32:25:	{"username":"admin","module":"films","class":"admin_films","action":"add","post_params":[],"get_params":[],"ip":"::1"}>>>>>
07/04/2015 16:32:26:	{"username":"admin","module":"frontend","class":"frontend","action":"static","post_params":[],"get_params":{"t":"D2LI"},"ip":"::1"}>>>>>
07/04/2015 16:32:26:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
