17/04/2015 10:38:32:	{"username":"admin","module":"users","class":"admin_users","action":"dashboard","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:01:31:	{"username":"admin","module":"frontend","class":"frontend","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:01:36:	{"username":"admin","module":"frontend","class":"frontend","action":"detail","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:01:54:	{"username":"admin","module":"frontend","class":"frontend","action":"index.html","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:01:54:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:01:56:	{"username":"admin","module":"frontend","class":"frontend","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:02:56:	{"username":"admin","module":"frontend","class":"frontend","action":"contact.html","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:02:56:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:02:59:	{"username":"admin","module":"frontend","class":"frontend","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:11:29:	{"username":"admin","module":"films","class":"admin_films","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:11:31:	{"username":"admin","module":"films","class":"admin_films","action":"add","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:11:32:	{"username":"admin","module":"frontend","class":"frontend","action":"static","post_params":[],"get_params":{"t":"D2LI"},"ip":"::1"}>>>>>
17/04/2015 11:11:32:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:11:45:	{"username":"admin","module":"films","class":"admin_films","action":"add","post_params":{"name":"dasgadfg Dsvv","name_en":"s\u00e0 D\u00e1","category":"Phim l\u1ebb","actor":"","director":"","year":"","time":"","point_imdb":"","subtitle":"","country":"","quality":"","image":"","image_small":"","trailer":"","description":"","link_download":"","online":"","is_hot":"0","status":"0","meta_keyword":"","meta_description":"","weight":"","username":"","data1":""},"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:11:45:	{"username":"admin","module":"films","class":"admin_films","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:11:49:	{"username":"admin","module":"films","class":"admin_films","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:11:53:	{"username":"admin","module":"films","class":"admin_films","action":"add","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:11:59:	{"username":"admin","module":"frontend","class":"frontend","action":"static","post_params":[],"get_params":{"t":"D2LI"},"ip":"::1"}>>>>>
17/04/2015 11:11:59:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:12:45:	{"username":"admin","module":"films","class":"admin_films","action":"add","post_params":{"name":"\u0111ag \u0110\u00c0","name_en":"dsvd DFSAFS","category":"Ho\u1ea1t h\u00ecnh","actor":"3","director":"4","year":"34","time":"334","point_imdb":"fsdf","subtitle":"gdfgdf","country":"gdf","quality":"gdfgdf","image":"gdfgdf","image_small":"fgdfg","trailer":"gdfg","description":"<p>dvsdfg<\/p>\r\n","link_download":"<p>gdfgdf<\/p>\r\n","online":"<p>fgdfg<\/p>\r\n","is_hot":"1","status":"1","meta_keyword":"fdgdf","meta_description":"gfdfg","weight":"","username":"","data1":""},"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:12:45:	{"username":"admin","module":"films","class":"admin_films","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:14:12:	{"username":"admin","module":"films","class":"admin_films","action":"add","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:14:13:	{"username":"admin","module":"frontend","class":"frontend","action":"static","post_params":[],"get_params":{"t":"D2LI"},"ip":"::1"}>>>>>
17/04/2015 11:14:13:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:15:26:	{"username":"admin","module":"films","class":"admin_films","action":"add","post_params":{"name":"T\u00ean Phim","name_en":"Hello Vi\u1ec7t \u0110\u1ea0","category":"","actor":"","director":"","year":"","time":"","point_imdb":"","subtitle":"","country":"","quality":"","image":"","image_small":"","trailer":"","description":"","link_download":"","online":"","is_hot":"0","status":"0","meta_keyword":"","meta_description":"","weight":"","username":"","data1":""},"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:15:26:	{"username":"admin","module":"films","class":"admin_films","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:35:00:	{"username":"admin","module":"frontend","class":"frontend","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:35:01:	{"username":"admin","module":"frontend","class":"frontend","action":"fgdfg","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:35:01:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:35:36:	{"username":"admin","module":"frontend","class":"frontend","action":"gdfgdf","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:35:36:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:35:40:	{"username":"admin","module":"frontend","class":"frontend","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:35:40:	{"username":"admin","module":"frontend","class":"frontend","action":"fgdfg","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:35:40:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:36:15:	{"username":"admin","module":"frontend","class":"frontend","action":"gdfgdf","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:36:15:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:39:35:	{"username":"admin","module":"frontend","class":"frontend","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:39:35:	{"username":"admin","module":"frontend","class":"frontend","action":"index","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:39:36:	{"username":"admin","module":"frontend","class":"frontend","action":"fgdfg","post_params":[],"get_params":[],"ip":"::1"}>>>>>
17/04/2015 11:39:36:	{"username":"admin","module":"errors","class":"errors","action":"error_404","post_params":[],"get_params":[],"ip":"::1"}>>>>>
